日付	区分	曜日	備考
2026-04-04	休日	土	
2026-04-05	休日	日	
2026-04-11	出勤土曜	土	安全衛生委員会開催日
2026-04-12	休日	日	
2026-04-18	休日	土	
2026-04-19	休日	日	
2026-04-26	休日	日	
2026-04-29	祝日	水	昭和の日
2026-05-03	祝日	日	憲法記念日
2026-05-04	祝日	月	みどりの日
2026-05-05	祝日	火	こどもの日
2026-05-06	祝日	水	振替休日
2026-05-09	出勤土曜	土	安全衛生委員会開催日
2026-05-10	休日	日	
2026-05-16	休日	土	
2026-05-17	休日	日	
2026-05-23	休日	土	
2026-05-24	休日	日	
2026-05-30	休日	土	
2026-05-31	休日	日	
2026-06-06	休日	土	
2026-06-07	休日	日	
2026-06-13	休日	土	
2026-06-14	休日	日	
2026-06-20	出勤土曜	土	安全衛生委員会開催日
2026-06-21	休日	日	
2026-06-22	休日	月	代休（安全衛生委員会出勤の振替）
2026-06-27	休日	土	
2026-06-28	休日	日	
2026-07-04	出勤土曜	土	安全衛生委員会開催日
2026-07-05	休日	日	
2026-07-06	休日	月	代休（安全衛生委員会出勤の振替）
2026-07-11	休日	土	
2026-07-12	休日	日	
2026-07-18	休日	土	
2026-07-19	休日	日	
2026-07-20	祝日	月	海の日
2026-07-25	休日	土	
2026-07-26	休日	日	
2026-08-01	出勤土曜	土	安全衛生委員会開催日
2026-08-02	休日	日	
2026-08-03	休日	月	代休（安全衛生委員会出勤の振替）
2026-08-08	休日	土	
2026-08-09	休日	日	
2026-08-11	祝日	火	山の日
2026-08-13	休日	木	お盆休み
2026-08-14	休日	金	お盆休み
2026-08-15	休日	土	お盆休み
2026-08-16	休日	日	
2026-08-22	休日	土	
2026-08-23	休日	日	
2026-08-29	休日	土	
2026-08-30	休日	日	
2026-09-05	休日	土	
2026-09-06	休日	日	
2026-09-12	休日	土	
2026-09-13	休日	日	
2026-09-14	休日	月	代休（安全衛生委員会出勤の振替）
2026-09-19	出勤土曜	土	安全衛生委員会開催日
2026-09-20	休日	日	
2026-09-21	祝日	月	敬老の日
2026-09-22	祝日	火	国民の休日
2026-09-23	祝日	水	秋分の日
2026-09-26	休日	土	
2026-09-27	休日	日	
2026-10-03	休日	土	
2026-10-04	休日	日	
2026-10-10	休日	土	
2026-10-11	休日	日	
2026-10-12	祝日	月	スポーツの日
2026-10-17	出勤土曜	土	安全衛生委員会開催日
2026-10-18	休日	日	
2026-10-24	休日	土	
2026-10-25	休日	日	
2026-10-31	休日	土	
2026-11-01	休日	日	
2026-11-03	祝日	火	文化の日
2026-11-07	出勤土曜	土	安全衛生委員会開催日
2026-11-08	休日	日	
2026-11-14	休日	土	
2026-11-15	休日	日	
2026-11-21	休日	土	
2026-11-22	休日	日	
2026-11-23	祝日	月	勤労感謝の日
2026-11-28	休日	土	
2026-11-29	休日	日	
2026-12-05	休日	土	
2026-12-06	休日	日	
2026-12-12	出勤土曜	土	安全衛生委員会開催日
2026-12-13	休日	日	
2026-12-19	休日	土	
2026-12-20	休日	日	
2026-12-27	休日	日	
2026-12-30	休日	水	年末休暇
2026-12-31	休日	木	年末休暇
2027-01-01	祝日	金	元旦
2027-01-02	休日	土	年始休暇
2027-01-03	休日	日	
2027-01-04	休日	月	
2027-01-10	休日	日	
2027-01-11	祝日	月	成人の日
2027-01-16	出勤土曜	土	安全衛生委員会開催日
2027-01-17	休日	日	
2027-01-23	休日	土	
2027-01-24	休日	日	
2027-01-30	休日	土	
2027-01-31	休日	日	
2027-02-06	休日	土	
2027-02-07	休日	日	
2027-02-11	祝日	木	建国記念日
2027-02-13	出勤土曜	土	安全衛生委員会開催日
2027-02-14	休日	日	
2027-02-20	休日	土	
2027-02-21	休日	日	
2027-02-23	祝日	火	天皇誕生日
2027-02-28	休日	日	
2027-03-06	休日	土	
2027-03-07	休日	日	
2027-03-13	休日	土	
2027-03-14	休日	日	
2027-03-20	出勤土曜	土	安全衛生委員会開催日
2027-03-21	祝日	日	春分の日
2027-03-22	祝日	月	振替休日
2027-03-28	休日	日	
